"","Spell","Rune"
"4901","Plague of Toads","Rain of Toads"
"4902","Piranhas","Piranhado"
"4903","Spirit Walk","Jaunt"
"4904","Big Bad Voodoo","Slam Dance"
"4905","Fetish Army","Legion of Daggers"
"4906","Summon Zombie Dogs","Rabid Dogs"
"4907","Midnight Feast","Passive"
"4908","Pierce the Veil","Passive"
"4909","Zombie Handler","Passive"
"4910","Gruesome Feast","Passive"
"4911","Haunt","Resentful Spirits"
"4912","Piranhas","Piranhado"
"4913","Spirit Walk","Jaunt"
"4914","Soul Harvest","Siphon"
"4915","Locust Swarm","Pestilence"
"4916","Horrify","Face of Death"
"4917","Creeping Death","Passive"
"4918","Spirit Vessel","Passive"
"4919","Grave Injustice","Passive"
"4920","Pierce the Veil","Passive"
"4921","Haunt","Resentful Spirits"
"4922","Piranhas","Piranhado"
"4923","Soul Harvest","Siphon"
"4924","Locust Swarm","Pestilence"
"4925","Spirit Walk","Jaunt"
"4926","Horrify","Face of Death"
"4927","Grave Injustice","Passive"
"4928","Pierce the Veil","Passive"
"4929","Creeping Death","Passive"
"4930","Spirit Vessel","Passive"
"4931","Piranhas","Piranhado"
"4932","Horrify","Face of Death"
"4933","Fetish Army","Legion of Daggers"
"4934","Spirit Walk","Jaunt"
"4935","Mass Confusion","Paranoia"
"4936","Big Bad Voodoo","Slam Dance"
"4937","Zombie Handler","Passive"
"4938","Jungle Fortitude","Passive"
"4939","Spirit Vessel","Passive"
"4940","Tribal Rites","Passive"
"4941","Piranhas","Frozen Piranhas"
"4942","Summon Zombie Dogs","Burning Dogs"
"4943","Gargantuan","Wrathful Protector"
"4944","Fetish Army","Tiki Torchers"
"4945","Big Bad Voodoo","Slam Dance"
"4946","Spirit Walk","Jaunt"
"4947","Zombie Handler","Passive"
"4948","Pierce the Veil","Passive"
"4949","Grave Injustice","Passive"
"4950","Midnight Feast","Passive"
"4951","Haunt","Resentful Spirits"
"4952","Spirit Walk","Jaunt"
"4953","Piranhas","Piranhado"
"4954","Locust Swarm","Pestilence"
