"","Spell","Rune"
"186","Wrath of the Berserker","Insanity"
"187","Inspiring Presence","Passive"
"188","Bloodthirst","Passive"
"189","Superstition","Passive"
"190","Rampage","Passive"
"191","Frenzy","Maniac"
"192","Furious Charge","Dreadnought"
"193","Battle Rage","Bloodshed"
"194","War Cry","Impunity"
"195","Wrath of the Berserker","Insanity"
"196","Call of the Ancients","Together as One"
"197","Berserker Rage","Passive"
"198","Rampage","Passive"
"199","Superstition","Passive"
"200","Boon of Bul-Kathos","Passive"
"201","Frenzy","Maniac"
"202","Seismic Slam","Shattered Ground"
"203","Call of the Ancients","The Council Rises"
"204","War Cry","Impunity"
"205","Battle Rage","Bloodshed"
"206","Wrath of the Berserker","Insanity"
"207","Superstition","Passive"
"208","Bloodthirst","Passive"
"209","Relentless","Passive"
"210","Rampage","Passive"
"211","Frenzy","Maniac"
"212","Furious Charge","Battering Ram"
"213","Battle Rage","Bloodshed"
"214","Ignore Pain","Iron Hide"
"215","Call of the Ancients","The Council Rises"
"216","Wrath of the Berserker","Insanity"
"217","Superstition","Passive"
"218","Boon of Bul-Kathos","Passive"
"219","Weapons Master","Passive"
"220","Berserker Rage","Passive"
"221","Frenzy","Maniac"
"222","Furious Charge","Battering Ram"
"223","Ignore Pain","Iron Hide"
"224","Battle Rage","Bloodshed"
"225","Call of the Ancients","The Council Rises"
"226","Wrath of the Berserker","Insanity"
"227","Superstition","Passive"
"228","Nerves of Steel","Passive"
"229","Berserker Rage","Passive"
"230","Boon of Bul-Kathos","Passive"
"231","Hammer of the Ancients","Smash"
"232","Leap","Death from Above"
"233","Ground Stomp","Wrenching Smash"
"234","War Cry","Invigorate"
"235","Call of the Ancients","Ancients' Fury"
"236","Wrath of the Berserker","Insanity"
"237","Bloodthirst","Passive"
"238","Superstition","Passive"
"239","Relentless","Passive"
"240","Juggernaut","Passive"
"241","Whirlwind","Wind Shear"
"242","War Cry","Impunity"
"243","Ground Stomp","Deafening Crash"
"244","Threatening Shout","Falter"
"245","Ignore Pain","Bravado"
"246","Call of the Ancients","Together as One"
"247","Nerves of Steel","Passive"
"248","Inspiring Presence","Passive"
"249","Superstition","Passive"
"250","Relentless","Passive"
"251","Call of the Ancients","The Council Rises"
"252","Furious Charge","Dreadnought"
"253","Battle Rage","Marauder's Rage"
"254","Sprint","Marathon"
"255","Wrath of the Berserker","Insanity"
"256","War Cry","Impunity"
"257","Nerves of Steel","Passive"
"258","Berserker Rage","Passive"
"259","Tough as Nails","Passive"
"260","Boon of Bul-Kathos","Passive"
"261","Frenzy","Smite"
"262","Hammer of the Ancients","Thunderstrike"
"263","War Cry","Impunity"
"264","Furious Charge","Merciless Assault"
"265","Battle Rage","Bloodshed"
"266","Wrath of the Berserker","Striding Giant"
"267","Tough as Nails","Passive"
"268","Nerves of Steel","Passive"
"269","Superstition","Passive"
"270","Rampage","Passive"
"271","Furious Charge","Battering Ram"
"272","Frenzy","Maniac"
"273","War Cry","Impunity"
"274","Battle Rage","Marauder's Rage"
"275","Call of the Ancients","Together as One"
"276","Wrath of the Berserker","Insanity"
"277","Berserker Rage","Passive"
"278","Superstition","Passive"
"279","Boon of Bul-Kathos","Passive"
"280","Rampage","Passive"
"281","Furious Charge","Stamina"
"282","Whirlwind","Volcanic Eruption"
"283","Wrath of the Berserker","Striding Giant"
"284","Battle Rage","Bloodshed"
"285","War Cry","Impunity"
"286","Call of the Ancients","The Council Rises"
"287","Ruthless","Passive"
"288","Superstition","Passive"
"289","Rampage","Passive"
"290","Bloodthirst","Passive"
"291","Frenzy","Maniac"
"292","Furious Charge","Battering Ram"
"293","War Cry","Impunity"
"294","Battle Rage","Marauder's Rage"
"295","Wrath of the Berserker","Insanity"
"296","Call of the Ancients","The Council Rises"
"297","Berserker Rage","Passive"
"298","Nerves of Steel","Passive"
"299","Superstition","Passive"
"300","Tough as Nails","Passive"
"301","Call of the Ancients","The Council Rises"
"302","Whirlwind","Volcanic Eruption"
"303","War Cry","Impunity"
"304","Battle Rage","Bloodshed"
"305","Furious Charge","Battering Ram"
"306","Wrath of the Berserker","Insanity"
"307","Relentless","Passive"
"308","Berserker Rage","Passive"
"309","Superstition","Passive"
"310","Boon of Bul-Kathos","Passive"
"311","Frenzy","Maniac"
"312","Furious Charge","Battering Ram"
"313","Battle Rage","Marauder's Rage"
"314","War Cry","Impunity"
"315","Call of the Ancients","Together as One"
"316","Wrath of the Berserker","Insanity"
"317","Rampage","Passive"
"318","Brawler","Passive"
"319","Ruthless","Passive"
"320","Berserker Rage","Passive"
"321","Frenzy","Maniac"
"322","Call of the Ancients","Together as One"
"323","Furious Charge","Battering Ram"
"324","Wrath of the Berserker","Insanity"
"325","War Cry","Impunity"
"326","Battle Rage","Bloodshed"
"327","Nerves of Steel","Passive"
"328","Rampage","Passive"
"329","Superstition","Passive"
"330","Weapons Master","Passive"
"331","Call of the Ancients","Together as One"
"332","Furious Charge","Merciless Assault"
"333","Ignore Pain","Mob Rule"
"334","Wrath of the Berserker","Insanity"
"335","War Cry","Impunity"
